id,subcategory,service_summary
"033fbf89-875e-4335-a1e3-fcc6de7fb01b","Home Theater Design (Service)","Home Theater Design is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"04ec1dca-3416-467a-bd97-6499c79cbaaa","General Residential Electric Lighting Fixture Manufacturing (Service)","General Residential Electric Lighting Fixture Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"0723019a-5590-4c72-a5b3-1faaba81f361","General Ornamental and Architectural Metal Work Manufacturing (Service)","General Ornamental and Architectural Metal Work Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"08e7be2b-47be-49a5-88ec-2826a2bf0a41","Lighting & Smart Lighting (Service)","Lighting & Smart Lighting is an electrical and lighting service that helps homeowners and businesses power spaces safely and support lighting, devices, and modern electrical needs. It’s commonly used for lighting automation and smart home upgrades."
"090c2741-4e44-4e07-96e4-3b7a85384189","Nursery Design (Service)","Nursery Design is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"0910de4a-c9c0-418a-b6cb-11217231a8da","General Custom Architectural Woodwork and Millwork Manufacturing (Service)","General Custom Architectural Woodwork and Millwork Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for custom woodwork, millwork, and architectural components."
"0a71da4a-fb63-4000-bf35-f18f166c7172","General Floor Covering Stores (Service)","General Floor Covering Stores is a flooring service that helps homeowners and commercial property operators choose and fit floor surfaces that match durability, comfort, and style goals. It’s commonly used for hardwood, tile, carpet, and resilient flooring projects."
"0a7ac0e9-a453-4f38-bd49-606a69b130d7","General Outdoor Advertising (Service)","General Outdoor Advertising is a marketing service that helps businesses reach the right customers, communicate value clearly, and drive more leads or sales. It’s commonly used for billboards, signage, and location‑based campaigns."
"0ac24a29-ea4b-47e4-b8b8-d8e8d3cdc8ac","General Residential Remodelers","General Residential Remodelers is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"0ceee516-fa06-472c-adfb-17cd8db182a4","General Wood Container and Pallet Manufacturing (Service)","General Wood Container and Pallet Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"0db08a07-7e91-4237-99e5-73e33d8096c4","General Home Furnishing Merchant Wholesalers (Service)","General Home Furnishing Merchant Wholesalers is a wholesale supply service that helps retailers, contractors, and businesses source the right products reliably and keep projects or shelves stocked. It’s commonly used for materials, inventory, and fulfillment for ongoing needs."
"0f2e7be4-e09f-4920-b8a2-c88bfb55132d","General Reconstituted Wood Product Manufacturing (Service)","General Reconstituted Wood Product Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"10bf539f-e30a-4b45-96ec-7de3af1c824e","Before/After House Flips","Before/After House Flips is a renovation and resale planning service that helps investors, homeowners, and real estate operators prioritize upgrades that improve livability and resale value while keeping the budget focused. It’s commonly used for before/after concepts, finish selections, and room refresh plans."
"115c8db7-07f5-4438-a84d-62ab77ddef51","General Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers (Service)","General Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for custom woodwork, millwork, and architectural components."
"153c4755-cbc8-4904-bcfb-c3262bea0fca","Living Room","Living Room is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"168fc40e-38dd-42b9-b49f-ffe15a706dbe","General Residential Property Managers (Service)","General Residential Property Managers is a property management service that helps property owners and landlords keep rentals operating smoothly while protecting the property and improving tenant experience. It’s commonly used for tenant support, maintenance coordination, and owner reporting."
"16f2e4e4-3900-4d8f-88c6-32a587615a25","Exterior Painting (Service)","Exterior Painting is a painting and finishing service that helps homeowners, landlords, and businesses refresh and protect surfaces while improving the look of interiors and exteriors. It’s commonly used for interior repainting, exterior refreshes, and surface finishing."
"194024ed-8a54-43e8-b7e3-499e5c6aa55a","General Plumbing, Heating, and Air-Conditioning Contractors (Service)","General Plumbing, Heating, and Air-Conditioning Contractors is a plumbing service that helps homeowners and property operators restore safe, reliable water and drainage and prevent recurring problems. It’s commonly used for repairs, replacements, and upgrades for fixtures and lines."
"1b617d1f-3811-4da4-b3c4-40f7690eb65f","General Other Building Finishing Contractors (Service)","General Other Building Finishing Contractors is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"1bfce3c6-8ce1-4d9f-8cf6-7984f562dc0e","General Poured Concrete Foundation and Structure Contractors (Service)","General Poured Concrete Foundation and Structure Contractors is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"207369c6-6109-43b8-8044-ab9e3e2c9425","Breast Implants","Breast Implants is a healthcare service that helps patients address a health or cosmetic concern with professional evaluation and treatment. It’s commonly used for consultations, procedures, and ongoing care."
"208b8e73-cae1-484f-a30f-3d5e8a5ccbef","General Prefabricated Wood Building Manufacturing (Service)","General Prefabricated Wood Building Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"220eec54-2543-497a-9e04-c26638290a44","General Mobile Food Services (Service)","General Mobile Food Services is a food and catering service that helps individuals, event organizers, and businesses provide meals and hospitality that match dietary needs, budgets, and the occasion. It’s commonly used for food trucks and pop‑up service."
"2351085f-eb4c-41b4-989f-c5708edc6a9a","General Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing","General Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"24199ece-fb2a-4939-b477-f86c2504be2a","Paint & Wallpaper (Service)","Paint & Wallpaper is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
